tx_a,tx_b,result
0xad0c375e8a7dea1d335effe223de15f83cc0e8ea60d0484928fa7c9c078c33bb,0x0d31248986969d1c461c5308e7904a50d50b8661d2c219e11b0fa1ecd2734501,TOD
0xb1b2bb54f0ca7a09cdd6e00228f0a81bc7ba4657073722d353e40f55f03df1d6,0xdbec918b12cc44387ec1411bc2b403cb846d959b20e8d9e6d35c101595b5fcce,TOD
0x2909ea5f069c875c20704a16b20970330f66baadc4e419a9716759e0d5fb257e,0xd25fee90eb619c2856c076a56de17125feff98b3dd58bf104ececf407783eb94,not TOD
0x0e534224e0e892bdf71a69672626a44f9423fdcedec5f39352517c5bd4273360,0x552f062632c068313135948a2532855a45f0c9481396bdf8934b5c67ad8da86e,TOD
0x97801d5734ffbb4401e318aeec92a997de61b77b7129d8a1a9f5973c9d01a81c,0x51626a63aaeb8036bdbc7e22279cd80f9e346bae733febb62797451de222de31,replay diverged
0x20f149c8fee523c38c192e105cde4e360f90e8196c3ac22a3ac03381bb66a069,0x89f0a2697e076cbc2ba7617630a5d5f8827d289aa1ad3e86ca3acdb5e813abe9,TOD
0x3d33db5e677a53c7b870b0f1efc3b727f451576795bd8c5ca9529c528dac94a7,0x05ef9a84affa8e72ee2ef358e5638f2f7eb32f10005a45d4792e262bb13c8aeb,TOD
0x08899d7a0031a1b47bab67dfd07b4825ce331c90593322fbff44b410ba83e323,0x5732190a00c99db2064f721eeba674df28bdb6e80aa3c59d8d66f41072534038,TOD
0xb192a7121b1fa307d791616782b02ce7649e763befa1e36dde8d405aeb46284b,0x8d9b5ff384f50f062d7c124f3fffa1144c4cbfe2766a863b40b11df7c6c64387,TOD
0x7de79a53ed560ec424e98638acdcce0d9e581f81e20f34f39fa6396b1247c537,0x44bae4b86b8ac0913caf02826cc4f71fc486a4b259fb2819d1b2fb98533c8871,TOD
