tx_a,tx_b,rq1-3_search,tod_overall,tod_approximation,property_gain_and_loss
0x045ddb50201c495d15938e8fb843466b5b6e8fb7a90daf09472db6660f18b12c,0x1c68bfc06f4005dade1a2cbab6c1bf8339ce5e071b93bd0cd785e59effbe1df2,True,True,True,True
0x045fef673db1501d558dd58cfbbc075590ec4371a3daf1c1466c5cdf7e8299ef,0x8e72baabb89b0b0f77ea59facc6d06ea5254fb8312be35d99bc67a41f936292a,True,False,False,True
0x045fef673db1501d558dd58cfbbc075590ec4371a3daf1c1466c5cdf7e8299ef,0x9ed1c7b1126d6b73642da7052a9ea43fdf5100ed7759e3b9ac12453f3596a548,True,False,False,True
0x046298c5c6dc282dc45b0249db744f074082a76a49d8b6593ce7bb75892ef8de,0x9c921e448304754b60054257811fb9b633a223c994ad4ddd837dfd22b9baaa0b,True,True,True,True
0x046665991a11a8bd4c7b83846621b9b5bd8e141af60c9e8c9ddde0cfe71557d3,0xa071e8a3b5b32d2e5b44468f5dff0aec33558140cdaece374903e838064f6af4,True,True,True,True
0x049f88c242906002d30634a40e74295bea9441bea85557a5c45c8d6b67ffce2a,0x21218c66c6caab98ce96f5e5cf34f891fc7592cdc9fa50a1af3ba3c5dfe31f1a,True,True,True,False
0x049f88c242906002d30634a40e74295bea9441bea85557a5c45c8d6b67ffce2a,0x58f57360e0524304456e10a295a00547dc58270252b369afe6c877b5b0a63ffa,True,False,False,False
0x04a7d9dc66ee2c8f8ed9b8f39dc96f8d55e3a76339bb18a613e8021999c2fe5d,0x949559c2478841f0944d96aa3dbf2e1d9692cf8cc5f281e89b839837a940cf11,True,True,True,False
0x04bd5c7ca26c08ad70431857220c16bf1879516683904ffc581f77bbcce71f37,0xbb8b508fdb9ca6fdc892226dca82f48b199dc127213195c92cccf994ae3fe8c1,True,True,True,True
0x04cad47a680000c634f3fed5880f387e9697436bce30f4a2d0efed52cb1a48c5,0x713b6939f70d623e56a5c1e9d111fc2116e0c6270bba88491eb273afd2d8058c,True,True,True,True
0x04ce98dec77d29fe2765adc695401f752757684f965720e52622753b87b63230,0xe17e8c63c91ee96dc0eb984e249ca3b2db2bccc6f25556e19f2b7c732f8ecf86,True,True,True,True
0x04d3f3687ea1b3cd5ccacf6fb2b47453d86af8ff3644d16f73800f4445e508b4,0x30316399c555155f8999b2a511f7c07c77300e20d34d56a77fe467f10ccc4692,True,True,True,True
0x04e58a8a9c8c8c5834c1917e689768f961322a3d58c2cdfa0158e486e2bdcd98,0xdc8bc02a589569b5b9e598c0f8bbddb4af62f3a76be14441793a38c28c330185,True,True,True,True
0x04fc653a799c80b353fe8e2db4a52ca5155a99e49f1ad0826c72f135b6652993,0x3d9e7efd8038b97f7c5c307312ad9b48f580da4e8d3618e67b3dfeb87d65e4b3,True,True,True,True
0x050babbbf9bf397f5a03c3371c72ed0c20a1abeec129dac1e787a9387baa1b61,0x60cccbb1557e706d7152ef157fd1831253856e53e886f714106e8e24ab2f52a7,True,True,True,True
0x050babbbf9bf397f5a03c3371c72ed0c20a1abeec129dac1e787a9387baa1b61,0xe280dfecb103931bcc657422ae77d20b7274a47d4a76ae705aac7468014e0e77,True,True,True,True
0x0520ad5c0878c143362b31e02d25e16ed7ef057bc116b3227250fa2fbe871744,0xcc3abac6c1d01011d6d5e905e15daf9ea751cd52ff47ae8d629feba07940755b,True,True,True,True
0x0523a594bcd26ff0123d22d74695cc349cb1887d3d65651456b441ff869caa96,0x095bb554ba214f71fd4abf8d7378865afe4b8b7e2e1c6097e113d5d866a8422a,True,False,False,False
0x0529aaeb09fba84552c42f049ea9da82d814fdf73f1f023b1453b2475c1f6f15,0x14e5c0833bc413675a6269fdda269f4b604752fb2d7e947d7f8ebb66b363e782,True,True,True,True
0x053cc5522ea017cb1b9622ff4aa406cfd9041ffe6fbc0f7ae3e2575da3adb2d0,0x3017498b2d1878db4aae87f1b57af2026345ac4aa316c23688f4046f06696bd3,True,True,True,False
0x053cc5522ea017cb1b9622ff4aa406cfd9041ffe6fbc0f7ae3e2575da3adb2d0,0x9ba240e87527e2217050a04b2211458c4c691da116b159d9bec8d104edb50f24,True,True,True,True
0x05423d72d8f68dd3c59e039a731781a36f3dd8fd5223c883898c84eaac5c869d,0x5515f0e15909a1ec07016bb39eacccd349371feb5bec3b46b94af4a02adc5d8a,True,True,True,True
0x05575a502a8a17159253eae144bdb0354c993ec8e2263ce6c8bb08bf4a5026d5,0x24c5fd30b09f4f19c3746efb41a226d345b3b284dff3aa375e93387b78c6ee06,True,False,False,True
0x055b10b54f33301a32be5a8bc739bd0a0d3d01d551fc3e742a57a32793746738,0x37901a900799512b118c02d02a1da4cba97e1f44953123cb726c59a8e4855b5d,True,True,True,False
0x0563664f52398c3c190f5fd4259b30b9782ac0848aba7884173ea6e25aa73608,0x7518258d211408f5d8bf526ea40601d52286c9efede9e67629d3134f51eb879b,True,True,True,True
0x056a0331e6e9cad34b93aa4f8850c8ee658f07a81e72ed6a769a869889382809,0x2a3d44f390e98fcd24385044de2c93e26e15d82cb755564ec8f55f7cea01cae2,True,True,True,True
0x056f9d268c4565d59b6de99247bbb82d85c20a22bb70ffd56f554ab6d551da14,0xd9a23da61e4b3d861a71cdd785385aa9144918b34bae045ab9420597891cdad7,True,True,True,True
0x0570afef61e4f30d60a80e40ddeda9e0a074904992e975e1f76ac2fcfc046346,0x7ce3efcd2a96e1df1fd6b2fcb48c860e02538860f2cdfcab6993038c3389e0e1,True,True,True,True
0x0570afef61e4f30d60a80e40ddeda9e0a074904992e975e1f76ac2fcfc046346,0x9aca41cde19ab2d262ab711b7fc36e96994eacc2b5a7b4f8b942c8840e03a62b,True,True,True,True
0x057316e15c18eee57c1886335494437c874a023ca5305280a9a51c0b534adbbb,0xb515634c7c0423ee317660a81ac9a204fe123d1898a8dfd4a7724f346c1a6568,True,True,True,True
0x057316e15c18eee57c1886335494437c874a023ca5305280a9a51c0b534adbbb,0xc4eb542011a21c8ecae24e2e0e45b5db0cdafc6467d42f86f6722edea364d469,True,True,True,True
0x057516d403bc437e051a3d1b3889c474ff1f9739178394a8a5f68ac7f63c545f,0xf93e5a042635606aaa5a3ff2ac71fdd8fdf51c6f5f8e63cac20bbc7a0a737192,True,True,True,True
0x057e2b7c0d6aadf085ccebfd528a4c96730bb2ec88cac7037b140e8ff1a26513,0xbca473b8bfba6283576a4db34598b31220afbb018773138b0efa7bf07852fa90,True,True,True,True
0x0581f631d9455116de7f81f307566a7e1876f98f2a44cae68ddd9c1257d8e6c5,0x2a6e6c81d7429a3bc8b8ee88986a5b74cce5ebf89734a563f731534abdc417d0,True,True,True,True
0x0581f631d9455116de7f81f307566a7e1876f98f2a44cae68ddd9c1257d8e6c5,0xe9ec5056b8bc224fd900028cfa83def0f092718fc6cceed7fa697b45a541a8ec,True,True,True,True
0x05ae06d24e07e958dad9e0b26e56367b483dba7ae6fbd107a09b7ce7ae72715b,0x5118726fb4688fe0fb51987c837c1381eaf5ec35e25a91c6675db730b55e6971,True,True,True,True
0x05ae06d24e07e958dad9e0b26e56367b483dba7ae6fbd107a09b7ce7ae72715b,0x8e0dd572d2eef24cb212c923230c10852b0b489cbe07cbf684a268c174e4e1b4,True,True,True,True
